id,category_id,block_number,block_code,block_text,version,uuid,category_name,created_at
1,1,1,1_1,A thank-you is the best first move: Someone to Thank 🎵[playlist:1st Thing 1st],1,2b48a45c-a777-4fbc-8ef7-a1c962b13145,1st Thing 1st,2025-10-07 16:30:27.988695
2,1,2,1_2,Ask 1 Question in Class: That Can Change the Way You See School 🎵[playlist:1st Thing 1st],1,2b48a45c-a777-4fbc-8ef7-a1c962b13146,1st Thing 1st,2025-10-07 16:30:28.019133
3,1,3,1_3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,1,2b48a45c-a777-4fbc-8ef7-a1c962b13147,1st Thing 1st,2025-10-07 16:30:28.049547
4,1,4,1_4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,1,2b48a45c-a777-4fbc-8ef7-a1c962b13148,1st Thing 1st,2025-10-07 16:30:28.080384
5,2,1,2_1,Imagining Love,1,2b48a45c-a777-4fbc-8ef7-a1c962b13149,Love,2025-10-07 16:30:28.111521
6,2,2,2_2,"Do They Like Me? Small Moves, Big Feels 🎵[playlist:Love]",1,3b11a3a1-05f4-4862-a6b8-7d8d97a28e33,Love,2025-10-07 16:30:28.141264
7,2,3,2_3,Kind of a Couple,1,5f77b0cb-330e-41a5-b81c-1d3ab1ed8f29,Love,2025-10-07 16:30:28.171894
8,2,4,2_4,"Almost, Not Quite",1,acc6ec24-512e-4d5f-8db6-b5bf86eca745,Love,2025-10-07 16:30:28.202489
9,2,5,2_5,Ghost and Goodbye The Sky That Stayed 🎵[playlist:Breakup],1,d3d6883b-8ebc-4c63-b44b-694c66279e53,Love,2025-10-07 16:30:28.233035
10,2,6,2_6,Love in Beta,1,e3d6883b-8ebc-4c63-b44b-694c66279e54,Love,2025-10-07 16:30:28.263751
11,3,1,3_1,How to Make Friends,1,d3d6883b-8ebc-4c63-b44b-694c66279e54,Friends,2025-10-07 16:30:28.293830
12,3,2,3_2,How to Keep a Friend,1,d3d6883b-8ebc-4c63-b44b-694c66279e55,Friends,2025-10-07 16:30:28.323388
13,3,3,3_3,Friendship Values,1,9b08ccfe-4d32-4602-bdfe-b5600b7a7dbd,Friends,2025-10-07 16:30:28.353765
14,3,4,3_4,Friendship Challenges 🎵[playlist:Hurt],1,eccde825-665d-42f5-a61a-628e6091b258,Friends,2025-10-07 16:30:28.384344
